# Muv 	 logphi
-26.0000	-19.9446
-25.7500	-19.4155
-25.5000	-18.8935
-25.2500	-18.3786
-25.0000	-17.8709
-24.7500	-17.3703
-24.5000	-16.8771
-24.2500	-16.3914
-24.0000	-15.9132
-23.7500	-15.4429
-23.5000	-14.9807
-23.2500	-14.5268
-23.0000	-14.0814
-22.7500	-13.6449
-22.5000	-13.2174
-22.2500	-12.7993
-22.0000	-12.3907
-21.7500	-11.9917
-21.5000	-11.6026
-21.2500	-11.2233
-21.0000	-10.8539
-20.7500	-10.4945
-20.5000	-10.1451
-20.2500	-9.8055
-20.0000	-9.4757
-19.7500	-9.1557
-19.5000	-8.8453
-19.2500	-8.5444
-19.0000	-8.2529
-18.7500	-7.9707
-18.5000	-7.6976
-18.2500	-7.4336
-18.0000	-7.1784
-17.7500	-6.9319
-17.5000	-6.6941
-17.2500	-6.4647
-17.0000	-6.2438
-16.7500	-6.0311
-16.5000	-5.8266
-16.2500	-5.6301
-16.0000	-5.4417
-15.7500	-5.2612
-15.5000	-5.0885
-15.2500	-4.9236
-15.0000	-4.7664
-14.7500	-4.6169
-14.5000	-4.4749
-14.2500	-4.3405
-14.0000	-4.2137
-13.7500	-4.0943
-13.5000	-3.9824
-13.2500	-3.8779
-13.0000	-3.7808
-12.7500	-3.6911
-12.5000	-3.6088
-12.2500	-3.5338
-12.0000	-3.4662
-11.7500	-3.4059
-11.5000	-3.3529
-11.2500	-3.3073
-11.0000	-3.2689
-10.7500	-3.2379
-10.5000	-3.2142
-10.2500	-3.1978
-10.0000	-3.1886
-9.7500	-3.1868
-9.5000	-3.1923
-9.2500	-3.2051
-9.0000	-3.2253
-8.7500	-3.2527
-8.5000	-3.2874
-8.2500	-3.3295
