# Muv 	 log10_phi
-26.0000	-20.9202
-25.7500	-19.7023
-25.5000	-18.4642
-25.2500	-17.2248
-25.0000	-15.9919
-24.7500	-14.7689
-24.5000	-13.5582
-24.2500	-12.3627
-24.0000	-11.1849
-23.7500	-10.0240
-23.5000	-8.8839
-23.2500	-7.7999
-23.0000	-6.9450
-22.7500	-6.2913
-22.5000	-5.7764
-22.2500	-5.3549
-22.0000	-4.9989
-21.7500	-4.6926
-21.5000	-4.4252
-21.2500	-4.1884
-21.0000	-3.9760
-20.7500	-3.7838
-20.5000	-3.6089
-20.2500	-3.4485
-20.0000	-3.2999
-19.7500	-3.1608
-19.5000	-3.0296
-19.2500	-2.9052
-19.0000	-2.7866
-18.7500	-2.6729
-18.5000	-2.5632
-18.2500	-2.4565
-18.0000	-2.3520
-17.7500	-2.2490
-17.5000	-2.1471
-17.2500	-2.0460
-17.0000	-1.9457
-16.7500	-1.8461
-16.5000	-1.7472
-16.2500	-1.6491
-16.0000	-1.5518
-15.7500	-1.4554
-15.5000	-1.3601
-15.2500	-1.2660
-15.0000	-1.1735
-14.7500	-1.0828
-14.5000	-0.9943
-14.2500	-0.9083
-14.0000	-0.8252
-13.7500	-0.7455
-13.5000	-0.6696
-13.2500	-0.5978
-13.0000	-0.5306
-12.7500	-0.4684
-12.5000	-0.4115
-12.2500	-0.3603
-12.0000	-0.3151
-11.7500	-0.2762
-11.5000	-0.2440
-11.2500	-0.2186
-11.0000	-0.2005
-10.7500	-0.1897
-10.5000	-0.1865
-10.2500	-0.1910
-10.0000	-0.2036
-9.7500	-0.2242
-9.5000	-0.2531
-9.2500	-0.2903
-9.0000	-0.3361
-8.7500	-0.3904
-8.5000	-0.4535
-8.2500	-0.5253
